-1	-1	61
-1	-0.77778	61
-1	-0.55556	61
-1	-0.33333	61
-1	-0.11111	61
-1	0.11111	61
-1	0.33333	61
-1	0.55556	61
-1	0.77778	61
-1	1	61
-0.77778	-1	56.556
-0.77778	-0.77778	56.556
-0.77778	-0.55556	56.556
-0.77778	-0.33333	56.556
-0.77778	-0.11111	56.556
-0.77778	0.11111	56.556
-0.77778	0.33333	56.556
-0.77778	0.55556	56.556
-0.77778	0.77778	56.556
-0.77778	1	56.556
-0.55556	-1	52.111
-0.55556	-0.77778	52.111
-0.55556	-0.55556	52.111
-0.55556	-0.33333	52.111
-0.55556	-0.11111	52.111
-0.55556	0.11111	52.111
-0.55556	0.33333	52.111
-0.55556	0.55556	52.111
-0.55556	0.77778	52.111
-0.55556	1	52.111
-0.33333	-1	47.667
-0.33333	-0.77778	47.667
-0.33333	-0.55556	47.667
-0.33333	-0.33333	47.667
-0.33333	-0.11111	47.667
-0.33333	0.11111	47.667
-0.33333	0.33333	47.667
-0.33333	0.55556	47.667
-0.33333	0.77778	47.667
-0.33333	1	47.667
-0.11111	-1	43.222
-0.11111	-0.77778	43.222
-0.11111	-0.55556	43.222
-0.11111	-0.33333	43.222
-0.11111	-0.11111	43.222
-0.11111	0.11111	43.222
-0.11111	0.33333	43.222
-0.11111	0.55556	43.222
-0.11111	0.77778	43.222
-0.11111	1	43.222
0.11111	-1	38.778
0.11111	-0.77778	38.778
0.11111	-0.55556	38.778
0.11111	-0.33333	38.778
0.11111	-0.11111	38.778
0.11111	0.11111	38.778
0.11111	0.33333	38.778
0.11111	0.55556	38.778
0.11111	0.77778	38.778
0.11111	1	38.778
0.33333	-1	34.333
0.33333	-0.77778	34.333
0.33333	-0.55556	34.333
0.33333	-0.33333	34.333
0.33333	-0.11111	34.333
0.33333	0.11111	34.333
0.33333	0.33333	34.333
0.33333	0.55556	34.333
0.33333	0.77778	34.333
0.33333	1	34.333
0.55556	-1	29.889
0.55556	-0.77778	29.889
0.55556	-0.55556	29.889
0.55556	-0.33333	29.889
0.55556	-0.11111	29.889
0.55556	0.11111	29.889
0.55556	0.33333	29.889
0.55556	0.55556	29.889
0.55556	0.77778	29.889
0.55556	1	29.889
0.77778	-1	25.444
0.77778	-0.77778	25.444
0.77778	-0.55556	25.444
0.77778	-0.33333	25.444
0.77778	-0.11111	25.444
0.77778	0.11111	25.444
0.77778	0.33333	25.444
0.77778	0.55556	25.444
0.77778	0.77778	25.444
0.77778	1	25.444
1	-1	21
1	-0.77778	21
1	-0.55556	21
1	-0.33333	21
1	-0.11111	21
1	0.11111	21
1	0.33333	21
1	0.55556	21
1	0.77778	21
1	1	21
